Timestamp,Value,Type
9:04:47 PM.454,"Distance: 182.27 cm\r\n",received
9:04:50 PM.774,"Distance: 182.27 cm\r\n",received
9:04:56 PM.606,"Distance: 26.72 cm\r\n",received
9:04:58 PM.600,"Distance: 25.86 cm\r\n",received
9:05:00 PM.931,"Distance: 182.21 cm\r\n",received
9:05:03 PM.373,"Distance: 25.89 cm\r\n",received
9:05:05 PM.382,"Distance: 182.73 cm\r\n",received
9:05:07 PM.419,"Distance: 184.06 cm\r\n",received
9:05:09 PM.445,"Distance: 25.38 cm\r\n",received
9:05:11 PM.476,"Distance: 181.95 cm\r\n",received
9:05:13 PM.521,"Distance: 181.83 cm\r\n",received
9:05:15 PM.561,"Distance: 181.85 cm\r\n",received
9:05:17 PM.602,"Distance: 182.29 cm\r\n",received
9:05:19 PM.641,"Distance: 181.90 cm\r\n",received
9:05:21 PM.683,"Distance: 181.46 cm\r\n",received
9:05:23 PM.714,"Distance: 182.78 cm\r\n",received
9:05:25 PM.768,"Distance: 211.40 cm\r\n",received
9:05:27 PM.815,"Distance: 181.92 cm\r\n",received
9:05:29 PM.848,"Distance: 182.46 cm\r\n",received
9:05:31 PM.874,"Distance: 182.80 cm\r\n",received
9:05:33 PM.928,"Distance: 182.36 cm\r\n",received
9:05:35 PM.980,"Distance: 181.88 cm\r\n",received
9:05:38 PM.12,"Distance: 182.05 cm\r\n",received
9:05:40 PM.36,"Distance: 181.92 cm\r\n",received
9:05:42 PM.94,"Distance: 181.85 cm\r\n",received
9:05:44 PM.130,"Distance: 181.93 cm\r\n",received
9:05:46 PM.169,"Distance: 181.82 cm\r\n",received
9:05:48 PM.201,"Distance: 181.34 cm\r\n",received
9:05:50 PM.248,"Distance: 181.75 cm\r\n",received
9:05:52 PM.292,"Distance: 181.80 cm\r\n",received
9:05:54 PM.325,"Distance: 181.44 cm\r\n",received
9:05:56 PM.374,"Distance: 182.26 cm\r\n",received
9:05:58 PM.408,"Distance: 181.88 cm\r\n",received
9:06:00 PM.457,"Distance: 181.93 cm\r\n",received
9:06:02 PM.489,"Distance: 182.82 cm\r\n",received
9:06:04 PM.519,"Distance: 181.85 cm\r\n",received
9:06:06 PM.569,"Distance: 181.78 cm\r\n",received
9:06:08 PM.624,"Distance: 181.78 cm\r\n",received
9:06:10 PM.644,"Distance: 181.87 cm\r\n",received
9:06:12 PM.685,"Distance: 181.75 cm\r\n",received
9:06:14 PM.725,"Distance: 181.73 cm\r\n",received
9:06:16 PM.755,"Distance: 181.78 cm\r\n",received
9:06:18 PM.813,"Distance: 181.83 cm\r\n",received
9:06:20 PM.844,"Distance: 182.27 cm\r\n",received
9:06:22 PM.878,"Distance: 181.58 cm\r\n",received
9:06:24 PM.928,"Distance: 182.27 cm\r\n",received
9:06:26 PM.971,"Distance: 182.26 cm\r\n",received
9:06:29 PM.19,"Distance: 181.90 cm\r\n",received
9:06:31 PM.53,"Distance: 181.54 cm\r\n",received
9:06:33 PM.93,"Distance: 182.27 cm\r\n",received
9:06:35 PM.125,"Distance: 181.93 cm\r\n",received
9:06:37 PM.171,"Distance: 182.38 cm\r\n",received
9:06:39 PM.207,"Distance: 181.87 cm\r\n",received
9:06:41 PM.248,"Distance: 181.88 cm\r\n",received
9:06:43 PM.286,"Distance: 174.32 cm\r\n",received
9:06:45 PM.324,"Distance: 26.43 cm\r\n",received
9:06:47 PM.346,"Distance: 27.73 cm\r\n",received
9:06:49 PM.385,"Distance: 28.58 cm\r\n",received
9:06:51 PM.401,"Distance: 25.98 cm\r\n",received
9:06:53 PM.447,"Distance: 27.30 cm\r\n",received
9:06:55 PM.470,"Distance: 27.22 cm\r\n",received
9:06:57 PM.512,"Distance: 27.18 cm\r\n",received
9:06:59 PM.538,"Distance: 26.81 cm\r\n",received
9:07:01 PM.557,"Distance: 26.84 cm\r\n",received
9:07:03 PM.588,"Distance: 26.06 cm\r\n",received
9:07:05 PM.633,"Distance: 27.22 cm\r\n",received
9:07:07 PM.650,"Distance: 27.18 cm\r\n",received
9:07:09 PM.681,"Distance: 25.28 cm\r\n",received
9:07:11 PM.713,"Distance: 26.94 cm\r\n",received
9:07:13 PM.759,"Distance: 28.58 cm\r\n",received
9:07:15 PM.785,"Distance: 25.96 cm\r\n",received
9:07:17 PM.821,"Distance: 28.08 cm\r\n",received
9:07:19 PM.841,"Distance: 24.43 cm\r\n",received
9:07:21 PM.879,"Distance: 28.05 cm\r\n",received
9:07:23 PM.916,"Distance: 27.30 cm\r\n",received
9:07:25 PM.948,"Distance: 26.93 cm\r\n",received
9:07:27 PM.977,"Distance: 27.76 cm\r\n",received
9:07:30 PM.10,"Distance: 27.22 cm\r\n",received
9:07:32 PM.33,"Distance: 27.30 cm\r\n",received
9:07:34 PM.75,"Distance: 28.07 cm\r\n",received
9:07:36 PM.99,"Distance: 28.03 cm\r\n",received
9:07:38 PM.131,"Distance: 27.74 cm\r\n",received
9:07:40 PM.163,"Distance: 27.74 cm\r\n",received
9:07:42 PM.196,"Distance: 27.30 cm\r\n",received
