x,y,z,timestamp
-0.43,0.12,0.24,1742367754.2045574
-0.55,0.18,0.31,1742367754.8203475
-0.31,0.0,0.24,1742367755.2288642
-0.49,0.18,0.24,1742367755.7394252
-0.37,0.06,0.24,1742367756.2536995
-0.43,0.12,0.18,1742367756.7657335
-0.37,0.12,0.24,1742367757.2764182
-0.55,0.06,0.24,1742367757.7887728
-0.37,0.12,0.24,1742367758.3011627
-0.55,0.18,0.18,1742367758.7096167
-0.31,0.12,0.18,1742367759.2215602
-0.37,0.06,0.24,1742367759.737187
-0.55,0.24,0.24,1742367760.246318
-0.49,0.06,0.24,1742367760.7570388
-0.61,0.06,0.24,1742367761.269514
-0.43,0.24,0.24,1742367761.7814476
-0.55,0.06,0.24,1742367762.294354
-0.37,0.12,0.18,1742367762.8062923
-0.61,0.12,0.24,1742367763.3172555
-0.67,0.0,0.18,1742367763.82935
-0.43,0.0,0.18,1742367764.3423326
-0.31,0.31,0.24,1742367764.8548977
-0.67,0.06,0.24,1742367765.3654006
-0.31,0.12,0.24,1742367765.7763023
-0.49,0.06,0.24,1742367766.287985
-0.49,0.18,0.24,1742367766.801432
-0.49,0.12,0.24,1742367767.8225431
-0.43,0.18,0.18,1742367767.9265747
-0.37,0.06,0.24,1742367768.3349206
-0.55,0.06,0.24,1742367768.847578
-0.43,0.12,0.24,1742367769.358843
-0.31,0.12,0.24,1742367769.8731413
-0.67,0.12,0.24,1742367770.3840191
-0.67,0.37,0.31,1742367770.8971868
-0.43,0.12,0.24,1742367771.4072978
-0.55,0.18,0.24,1742367771.9202936
-0.49,0.12,0.31,1742367772.4308858
-0.55,0.12,0.24,1742367772.945016
-0.49,0.18,0.24,1742367773.3523915
-0.49,0.12,0.24,1742367773.8647053
-0.43,0.06,0.18,1742367774.377592
-0.61,0.12,0.24,1742367774.8886862
-0.61,0.24,0.31,1742367775.4002922
-0.24,0.37,0.31,1742367775.9136443
-0.43,0.24,0.31,1742367776.4241383
-0.73,0.06,0.24,1742367776.9380171
-0.37,0.12,0.24,1742367777.4485023
-0.49,0.18,0.24,1742367777.960579
-0.61,0.06,0.24,1742367778.4729786
-0.37,0.12,0.24,1742367778.985472
-0.55,0.12,0.24,1742367779.4964836
0.18,0.49,0.18,1742367780.0115669
-0.18,0.31,0.24,1742367780.4181917
-0.73,0.37,0.18,1742367780.9305153
1.71,0.24,0.18,1742367781.4422872
12.02,-17.76,-8.91,1742367781.9541795
0.61,-2.62,-1.1,1742367782.4661615
4.15,0.31,-1.16,1742367782.9799697
-0.73,3.3,3.42,1742367783.4921892
-0.24,0.37,0.31,1742367784.0024781
-3.11,-1.59,0.49,1742367784.5141492
-0.24,0.85,0.55,1742367785.0278592
-0.37,-0.06,-0.12,1742367785.5395129
-0.49,-0.12,0.12,1742367786.0524194
-0.55,0.24,0.31,1742367786.5634646
-0.43,0.06,0.18,1742367787.0752938
-0.67,0.06,-0.18,1742367787.5868692
0.73,-1.71,-0.12,1742367788.0981913
2.62,-0.61,1.28,1742367788.5079722
-0.31,-0.67,0.43,1742367789.0258658
-0.98,0.85,0.49,1742367789.5330358
0.0,-0.06,0.31,1742367790.04394
-0.18,-0.18,0.24,1742367790.5573342
-0.67,0.31,0.31,1742367791.0673804
-0.61,-0.06,0.24,1742367791.5798361
-1.28,0.31,0.31,1742367792.0911222
-0.49,0.31,0.24,1742367792.6063917
-0.49,0.12,0.24,1742367793.1175072
-0.61,0.12,0.18,1742367793.628873
-0.79,-0.49,0.18,1742367794.1409695
-0.55,0.18,0.24,1742367794.6514935
0.0,-0.24,0.24,1742367795.1646357
0.0,0.0,0.49,1742367795.574389
-0.61,0.0,0.24,1742367796.0864718
-0.43,0.06,0.24,1742367796.5975416
-0.85,-0.43,0.24,1742367797.1126182
-0.43,0.43,0.24,1742367797.6213589
